Label	Brand	Name	Price	Rank	Combination	Dry	Normal	Oily	Sensitive
Moisturizer	LA MER	Cr?me de la Mer	175	4.1	1	1	1	1	1
Moisturizer	SK-II	Facial Treatment Essence	179	4.1	1	1	1	1	1
Moisturizer	DRUNK ELEPHANT	Protini™ Polypeptide Cream	68	4.4	1	1	1	1	0
Moisturizer	LA MER	The Moisturizing Soft Cream	175	3.8	1	1	1	1	1
Moisturizer	IT COSMETICS	Your Skin But Better™ CC+™ Cream with SPF 50+	38	4.1	1	1	1	1	1
Moisturizer	TATCHA	The Water Cream	68	4.2	1	0	1	1	1
Moisturizer	DRUNK ELEPHANT	Lala Retro™ Whipped Cream	60	4.2	1	1	1	1	0
Moisturizer	DRUNK ELEPHANT	Virgin Marula Luxury Facial Oil	72	4.4	1	1	1	1	0
Moisturizer	KIEHL'S SINCE 1851	Ultra Facial Cream	29	4.4	1	1	1	1	1
Moisturizer	LA MER	Little Miss Miracle Limited-Edition Cr?me de la Mer	325	5	0	0	0	0	0
Moisturizer	FRESH	Lotus Youth Preserve Moisturizer	45	4.3	0	0	0	0	0
Moisturizer	KIEHL'S SINCE 1851	Midnight Recovery Concentrate	47	4.4	1	1	1	1	1
Moisturizer	BELIF	The True Cream Aqua Bomb	38	4.5	1	0	1	1	0
Moisturizer	SUNDAY RILEY	Luna Sleeping Night Oil	105	4.1	1	1	1	1	1
Moisturizer	FARMACY	Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™	58	4.6	1	1	1	1	1
Moisturizer	DRUNK ELEPHANT	The Littles™	90	4.4	1	1	1	1	0
Moisturizer	FIRST AID BEAUTY	Ultra Repair® Cream Intense Hydration	30	4.6	1	1	1	1	1
Moisturizer	CLINIQUE	Moisture Surge 72-Hour Auto-Replenishing Hydrator	39	4.4	1	1	1	1	1
Moisturizer	FRESH	Rose Deep Hydration Moisturizer	40	4.4	0	0	0	0	0
Moisturizer	SK-II	R.N.A. POWER Face Cream	230	4.3	0	1	1	0	1
Moisturizer	LA MER	Cr?me de la Mer Mini	85	4.1	1	1	1	1	1
Moisturizer	BAREMINERALS	COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30	30	3.9	0	0	0	0	0
Moisturizer	SHISEIDO	Bio-Performance Advanced Super Revitalizing Cream	78	4.6	0	0	0	0	0
Moisturizer	FRESH	Black Tea Firming Overnight Mask	92	4.1	1	1	1	0	0
Moisturizer	BELIF	The True Cream Moisturizing Bomb	38	4.6	0	1	1	0	0
Moisturizer	CHARLOTTE TILBURY	Charlotte's Magic Cream	100	4.4	0	0	0	0	0
Moisturizer	DRUNK ELEPHANT	Virgin Marula Luxury Facial Oil Mini	40	4.5	1	1	1	1	0
Moisturizer	ORIGINS	Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion	34	4.4	1	1	1	1	1
Moisturizer	CLINIQUE	Dramatically Different Moisturizing Lotion+	28	3.9	1	1	0	0	0
Moisturizer	SK-II	GenOptics Aura Essence Serum	240	4.1	1	1	1	1	1
Moisturizer	FRESH	Black Tea Kombucha Antioxidant Essence	68	4.4	0	0	0	0	0
Moisturizer	TATCHA	Pure One Step Camellia Cleansing Oil	48	4.5	1	1	1	1	1
Moisturizer	OLEHENRIKSEN	Sheer Transformation® Perfecting Moisturizer	38	4.2	1	1	1	1	1
Moisturizer	JOSIE MARAN	100 percent Pure Argan Oil	48	4.5	0	1	0	1	1
Moisturizer	IT COSMETICS	Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40	38	3.9	1	1	1	1	0
Moisturizer	FARS?LI	Unicorn Essence Antioxidant Primer Serum	54	3.9	0	0	0	0	0
Moisturizer	LANEIGE	Water Sleeping Mask	25	4.4	1	1	1	1	1
Moisturizer	LANEIGE	Water Bank Moisture Cream	35	4.4	0	1	1	0	1
Moisturizer	SK-II	Facial Treatment Essence Mini	99	4.1	1	1	1	1	1
Moisturizer	DR. JART+	Premium Beauty Balm SPF 45	39	4.2	0	0	0	0	0
Moisturizer	TATCHA	Luminous Dewy Skin Mist	48	4	1	1	1	0	1
Moisturizer	SHISEIDO	Benefiance WrinkleResist24 Night Cream	63	4.4	0	1	1	0	0
Moisturizer	CLINIQUE	Dramatically Different Moisturizing Gel	28	4.5	1	0	0	1	0
Moisturizer	OLEHENRIKSEN	Goodnight Glow Retin-ALT Sleeping Cr?me	55	4.3	1	1	1	1	0
Moisturizer	SUNDAY RILEY	U.F.O. Ultra-Clarifying Face Oil	80	4.2	1	1	1	1	1
Moisturizer	GLOW RECIPE	Watermelon Glow Sleeping Mask	45	4.1	1	1	1	1	1
Moisturizer	HERBIVORE	Pink Cloud Rosewater Moisture Cr?me	48	4.6	1	1	1	1	1
Moisturizer	TARTE	Radiance Drops - Rainforest of the Sea™ Collection	32	3.7	0	0	0	0	0
Moisturizer	SUNDAY RILEY	Tidal Brightening Enzyme Water Cream	65	4.2	1	1	1	0	1
Moisturizer	CAUDALIE	Beauty Elixir	18	4.3	1	0	1	1	1
Moisturizer	CAUDALIE	Grape Water	10	4.5	1	1	1	1	1
Moisturizer	YOUTH TO THE PEOPLE	Adaptogen Deep Moisture Cream	58	4.8	1	1	1	1	1
Moisturizer	LA MER	The Renewal Oil	245	4.2	1	1	1	1	1
Moisturizer	BIOSSANCE	Squalane + Vitamin C Rose Oil	72	4.4	1	1	1	1	1
Moisturizer	TARTE	BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen	37	4.3	1	1	1	1	0
