label,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
1,5,1245.5,3,77000,2,15,5,109,5,151300,244.9489743
0,4,1277,1,113000,2,8,-1,100,3,341759,207.17384
0,7,1298,1,110000,2,11,-1,101,5,72001,1
1,7,1335.5,1,151000,2,11,5,110,3,60084,1
0,7,,2,59000,2,11,5,108,4,450081,197.4031408
0,6,1217,3,56000,2,6,-1,100,3,60091,1
1,4,1304,3,35000,2,8,9,85,5,60069,1
1,5,1256,3,78000,2,15,-1,111,3,60030,1
0,5,1323.5,3,218000,2,15,5,112,4,151300,282.8427125
0,4,,2,35000,2,8,5,101,3,60029,237.301496
0,7,1314.5,1,483000,2,11,9,101,3,151300,282.8427125
0,4,1250,3,95000,2,8,9,111,4,60047,1
0,7,1223,3,81000,2,11,5,114,4,151300,194.9358869
0,4,,2,76000,2,8,9,113,4,60091,158.4077018
0,7,1365.5,1,96000,2,11,-1,78,3,60025,178.8854382
0,7,1257.5,3,126000,2,11,5,105,3,151300,1
0,4,1214,3,81000,2,8,5,111,1,60043,202.4845673
1,7,1241,3,78000,1,11,5,105,5,60074,1
1,7,1241,1,111000,2,11,5,90,5,350068,223.6067977
1,4,,2,47000,2,8,9,107,5,151300,1
0,7,,2,77000,2,11,9,114,5,510000,159.6997182
0,4,1305.5,1,129000,2,8,5,81,5,60014,1
0,7,1277,1,150000,2,11,5,95,5,60015,1
0,4,1304,1,35000,2,8,5,105,3,340019,181.6590212
0,4,1320.5,3,164000,1,8,5,105,5,151300,187.0828693
0,7,1290.5,3,119000,2,11,9,85,3,151300,200
1,4,,2,34000,2,8,5,100,5,72049,163.294213
0,5,1455.5,3,35000,2,15,5,92,5,60058,1
1,7,1242.5,3,71000,1,11,5,108,5,60005,173.2050808
1,7,1239.5,3,79000,2,11,8,111,5,71003,1
0,7,1335.5,3,150000,2,11,9,105,5,350050,412.3105626
0,4,1355,3,177000,2,8,5,87,5,151101,1
0,5,,3,227000,2,15,-1,110,4,450080,183.0300522
0,5,1338.5,3,30000,2,15,5,110,4,71000,223.6067977
0,7,1259,3,74000,2,11,5,95,5,60036,207.3185954
0,4,1364,1,200000,2,8,5,90,3,60022,212.1320344
0,7,,2,90000,2,11,2,114,4,151300,173.2050808
0,7,1335.5,3,126000,2,11,5,83,5,60051,1
1,7,1272.5,3,50000,2,11,5,79,3,60011,1
0,7,1347.5,1,392000,2,11,4,114,4,60018,1
0,4,1191.5,3,50000,2,8,5,106,5,60090,1
0,5,1298,1,127000,2,15,-1,113,4,151300,1
0,5,1469,3,110000,2,15,5,82,5,350066,223.6067977
0,4,,2,49000,2,8,-1,113,4,72001,180.7235458
0,7,1400,1,100000,2,11,5,94,5,60028,205.5553453
1,7,1302.5,1,92000,2,11,-1,105,4,60075,212.1320344
0,7,1314.5,1,127000,2,11,-1,109,3,340012,500
1,7,1317.5,3,127000,2,11,9,88,5,71000,200
0,4,1314.5,3,89000,2,8,5,111,4,151009,1
0,4,1280,3,96000,2,8,9,112,4,60062,1
0,4,1287.5,1,139000,2,8,5,100,3,60030,244.9489743
0,5,1241,3,60000,2,15,5,90,5,60000,200
0,7,1187,3,90000,2,11,5,100,5,60093,1
0,5,1350.5,1,237000,2,15,8,86,3,60085,223.6067977
0,7,1302.5,1,92000,2,11,-1,105,4,591003,167.3320053
0,5,1205,3,61000,2,15,5,76,5,60069,1
0,1,1130,2,1000000,2,4,-1,100,5,650018,1
0,4,1352,1,168000,2,8,5,105,3,60017,223.6067977
0,7,1223,3,73000,2,11,9,111,4,350092,200
1,7,1235,3,101000,2,11,5,112,3,60013,1
0,5,1334,3,102000,2,15,9,84,5,72000,200
0,4,1214,3,68000,2,8,9,110,5,60091,1
1,7,1241,3,55000,2,11,9,113,4,151300,212.1320344
0,4,1293.5,1,458000,2,8,-1,75,5,340017,200
0,4,1382,3,76000,2,8,5,100,5,60018,173.2050808
1,7,,2,126000,2,11,9,115,4,450028,224.2676972
0,4,1323.5,1,103000,2,8,-1,85,5,350069,204.0171561
1,5,1206.5,3,49000,2,15,2,102,4,551201,158.113883
1,7,1214,3,59000,2,11,9,86,5,60018,200
0,5,1272.5,3,70000,2,15,5,113,5,60033,167.1227094
0,4,1322,3,35000,2,8,5,95,3,151300,173.2050808
0,4,1239.5,3,68000,2,8,5,84,5,60052,1
0,4,1328,3,148000,2,8,2,110,5,60064,1
